"","logFC","logCPM","PValue","FDR"
"MSTRG.8735",7.70894168858101,-0.0920112553886242,0.000821313697175705,0.00775401751370852
"MSTRG.3883",7.64359652077509,-0.12828452728182,0.000831053454163825,0.00783988363276347
"MSTRG.7441",7.58681905095994,-0.178388883143113,0.000899284406594119,0.00835789631608488
"MSTRG.17866",7.46798122523636,-0.308414068161972,1.48653679672728e-10,1.24664051366923e-08
"MSTRG.828",7.42107825189513,-0.315332338547441,1.77647587874369e-05,0.00030044432107821
"MSTRG.12768",7.41141312404275,-0.38298061083232,0.000240874990727413,0.00283546939713973
"MSTRG.11651",7.32529846562516,-0.442734377547545,3.74414336902237e-05,0.000574858375849899
"MSTRG.7571",7.31883625087986,1.8344904621165,1.05245724711318e-07,3.5848403711194e-06
"MSTRG.10658",7.27825081876411,4.51849643758553,3.08097158646983e-09,1.69523142495354e-07
"MSTRG.7324",7.18758992715593,3.1753722705512,6.31541304328323e-10,4.38830986321852e-08
"MSTRG.3614",7.18307025655183,-0.551628630064727,0.00181715348071816,0.0149503290429856
"MSTRG.4197",7.17018275481133,-0.650618796887501,0.00239091901092875,0.0187784149383406
"MSTRG.13563",7.14361573473868,-0.593925403839926,0.000391382599771933,0.00422108922558843
"MSTRG.14469",7.07419171521532,3.40948578851137,4.08631430765074e-11,3.82227553700254e-09
"MSTRG.2635",7.04454682204292,6.69124942218325,1.07827715011834e-08,4.92926697196958e-07
"MSTRG.6755",6.94000703064506,-0.727779321539226,0.00244692516140784,0.0191224999760407
"MSTRG.15010",6.65914575185187,2.15534960009903,4.74219764526904e-17,1.44162808416179e-14
"MSTRG.13758",6.62414732588839,-1.10127035073066,0.00536541828001521,0.0363485205623416
"MSTRG.7613",6.61187355625897,3.27493235234806,3.428481651874e-07,9.97376480545164e-06
"MSTRG.8773",6.60664236904547,3.07178296315552,1.92136006728498e-06,4.44177536467402e-05
"MSTRG.14774",6.54968081272514,-1.06362528971503,0.00478175901520801,0.0331506212228788
"MSTRG.12577",6.51152321689461,1.65165880057768,1.53842857262836e-08,6.72924152631685e-07
"MSTRG.1971",6.47610418809356,4.23318293384794,1.08783048516389e-10,9.44858478542353e-09
"MSTRG.14931",6.45974626883786,3.5294049252751,5.68370835208224e-08,2.07549229913874e-06
"MSTRG.2636",6.41171556422168,5.76134234691437,8.61556420346996e-12,8.95429578753801e-10
"MSTRG.8964",6.40325637118571,3.34687632126527,0.000164023617068404,0.00203315716977757
"MSTRG.17266",6.38367535552093,4.99849212622885,3.66657209868422e-12,4.24623968761906e-10
"MSTRG.11570",6.36557089436272,1.745573462737,8.17292533553515e-06,0.000156262220251741
"MSTRG.5861",6.25758152601829,6.34668475098006,2.74751975465616e-13,3.88565216114623e-11
"MSTRG.7457",6.23725893589922,3.70976938872599,0.00378201307052254,0.0274083359446496
"MSTRG.2639",6.11526010966114,5.20568188011083,7.59223120537829e-06,0.000146542113424444
"MSTRG.9428",6.08980300480101,0.464430036365639,2.37207239388166e-05,0.000385105478098811
"MSTRG.14898",6.04576414749575,3.81384303135175,4.2513059635586e-08,1.65162557561893e-06
"MSTRG.17421",5.96770683546128,2.0560173261196,1.26032156597785e-07,4.14202979521368e-06
"MSTRG.3301",5.87897016523859,4.982161751568,4.24566630196801e-10,3.11007844770669e-08
"MSTRG.14481",5.80965073994347,2.60111134996602,2.21083548811279e-13,3.27850726042092e-11
"MSTRG.10608",5.49170533509677,0.294326581884737,0.000679468655604185,0.00660458741178808
"MSTRG.13426",5.41338067827607,0.327190448721158,6.9420562834724e-10,4.69824575505869e-08
"MSTRG.3468",5.39246704209339,0.601404121978543,1.45186360896143e-07,4.68293408089417e-06
"MSTRG.2634",5.34197111914648,6.25427667127173,1.28090263450738e-11,1.31998101996693e-09
"MSTRG.699",5.30944312979399,2.82505875921587,1.57071805312532e-07,5.0131053874026e-06
"MSTRG.2630",5.23121157543064,6.8014311773091,1.087094272934e-10,9.44858478542353e-09
"MSTRG.7645",5.19130063221686,8.14625752581083,3.05666131945413e-09,1.69247784599421e-07
"MSTRG.10248",5.17051620694852,2.64642162200309,1.15458754887086e-07,3.83600671974581e-06
"MSTRG.2640",5.15321080917514,3.22535304773321,0.000591745685203975,0.00594188896125544
"MSTRG.14292",5.13088672047185,7.5826583468224,5.6838150283902e-14,1.01639986390036e-11
"MSTRG.9079",5.08891425052832,8.08993590081869,8.47634527958454e-07,2.20240082478094e-05
"MSTRG.5120",5.01223327768122,0.141759106794746,6.02279387440778e-12,6.42431346603497e-10
"MSTRG.17720",4.96586012768739,5.78168702673187,6.07752302307851e-06,0.000120166959285585
"MSTRG.1119",4.96110622594361,-0.0970695189409903,3.50241141053989e-06,7.41974263975001e-05
"MSTRG.10143",4.9606341397454,1.69026605093297,3.64295178519193e-06,7.65082792883141e-05
"MSTRG.13970",4.94205605047311,1.97800912056936,1.01212886973188e-05,0.000187383547404513
